Tahun,Air Disalurkan 
Jan-16,1268552
Feb-16,1249416
Mar-16,1176728
Apr-16,1196780
May-16,1209919
Jun-16,1205625
Jul-16,1309252
Aug-16,1072613
Sep-16,1269897
Oct-16,1214041
Nov-16,1244107
Dec-16,1152691
Jan-17,1282162
Feb-17,1245832
Mar-17,1130034
Apr-17,1323098
May-17,1201615
Jun-17,1229450
Jul-17,1284384
Aug-17,1219714
Sep-17,1319070
Oct-17,1214179
Nov-17,1390298
Dec-17,1305594
Jan-18,1316957
Feb-18,1315271
Mar-18,1212022
Apr-18,1316718
May-18,1292300
Jun-18,1236634
Jul-18,1384979
Aug-18,1319231
Sep-18,1338023
Oct-18,1343678
Nov-18,1429157
Dec-18,1417223
